Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
273;9,752500;10,000000;10,000000;10;0;0,000000;0,000000
274;9,657167;10,000000;10,000000;10;0;0,000000;0,000000
275;9,860000;10,000000;10,000000;10;0;0,000000;0,000000
276;9,817286;10,000000;10,000000;10;0;0,000000;0,000000
277;9,686060;10,000000;10,000000;10;0;0,000000;0,000000
278;9,637917;10,000000;10,000000;10;0;0,000000;0,000000
279;9,543750;10,000000;10,000000;10;0;0,000000;0,000000
280;9,589917;10,000000;10,000000;10;0;0,000000;0,000000
281;9,743750;10,000000;10,000000;10;0;0,000000;0,000000
282;9,805000;10,000000;10,000000;10;0;0,000000;0,000000
283;9,786667;10,000000;10,000000;10;0;0,000000;0,000000
284;9,845833;10,000000;10,000000;10;0;0,000000;0,000000
285;9,735833;10,000000;10,000000;10;0;0,000000;0,000000
286;9,697000;10,000000;10,000000;10;0;0,000000;0,000000
287;9,652000;10,000000;10,000000;10;0;0,000000;0,000000
288;9,596111;10,000000;10,000000;10;0;0,000000;0,000000
289;9,632500;10,000000;10,000000;10;0;0,000000;0,000000
290;9,671667;10,000000;10,000000;10;0;0,000000;0,000000
291;9,692083;10,000000;10,000000;10;0;0,000000;0,000000
292;9,775000;10,000000;10,000000;10;0;0,000000;0,000000
293;9,755000;10,000000;10,000000;10;0;0,000000;0,000000
294;9,722143;10,000000;10,000000;10;0;0,000000;0,000000
295;9,592143;10,000000;10,000000;10;0;0,000000;0,000000
296;9,568590;10,000000;10,000000;10;0;0,000000;0,000000
297;9,623000;10,000000;10,000000;10;0;0,000000;0,000000
298;9,646667;10,000000;10,000000;10;0;0,000000;0,000000
299;9,534524;10,000000;10,000000;10;0;0,000000;0,000000
300;9,450556;10,000000;10,000000;10;0;0,000000;0,000000
301;9,514444;10,000000;10,000000;10;0;0,000000;0,000000
302;9,642500;10,000000;10,000000;10;0;0,000000;0,000000
303;9,651667;10,000000;10,000000;10;0;0,000000;0,000000
304;9,543750;10,000000;10,000000;10;0;0,000000;0,000000
305;9,575060;10,000000;10,000000;10;0;0,000000;0,000000
306;9,759167;10,000000;10,000000;10;0;0,000000;0,000000
307;9,822500;10,000000;10,000000;10;0;0,000000;0,000000
308;9,772500;10,000000;10,000000;10;0;0,000000;0,000000
309;9,807500;10,000000;10,000000;10;0;0,000000;0,000000
310;9,748958;10,000000;10,000000;10;0;0,000000;0,000000
311;9,758333;10,000000;10,000000;10;0;0,000000;0,000000
312;9,804524;10,000000;10,000000;10;0;0,000000;0,000000
313;9,805000;10,000000;10,000000;10;0;0,000000;0,000000
314;9,743750;10,000000;10,000000;10;0;0,000000;0,000000
315;9,847500;10,000000;10,000000;10;0;0,000000;0,000000
316;9,720000;10,000000;10,000000;10;0;0,000000;0,000000
317;9,680000;10,000000;10,000000;10;0;0,000000;0,000000
318;9,650000;10,000000;10,000000;10;0;0,000000;0,000000
319;9,655000;10,000000;10,000000;10;0;0,000000;0,000000
320;9,705000;10,000000;10,000000;10;0;0,000000;0,000000
321;9,650000;10,000000;10,000000;10;0;0,000000;0,000000
322;9,595000;10,000000;10,000000;10;0;0,000000;0,000000
323;9,620833;10,000000;10,000000;10;0;0,000000;0,000000
324;9,492357;10,000000;10,000000;10;0;0,000000;0,000000
325;9,553333;10,000000;10,000000;10;0;0,000000;0,000000
326;9,711667;10,000000;10,000000;10;0;0,000000;0,000000
327;9,770000;10,000000;10,000000;10;0;0,000000;0,000000
328;9,732000;10,000000;10,000000;10;0;0,000000;0,000000
329;9,689286;10,000000;10,000000;10;0;0,000000;0,000000
330;9,760000;10,000000;10,000000;10;0;0,000000;0,000000
331;9,690000;10,000000;10,000000;10;0;0,000000;0,000000
332;9,491667;10,000000;10,000000;10;0;0,000000;0,000000
333;9,605000;10,000000;10,000000;10;0;0,000000;0,000000
334;9,555000;10,000000;10,000000;10;0;0,000000;0,000000
335;9,702500;10,000000;10,000000;10;0;0,000000;0,000000
336;9,625000;10,000000;10,000000;10;0;0,000000;0,000000
337;9,611875;10,000000;10,000000;10;0;0,000000;0,000000
338;9,600179;10,000000;10,000000;10;0;0,000000;0,000000
339;9,486429;10,000000;10,000000;10;0;0,000000;0,000000
340;9,621667;10,000000;10,000000;10;0;0,000000;0,000000
341;9,635000;10,000000;10,000000;10;0;0,000000;0,000000
342;9,496000;10,000000;10,000000;10;0;0,000000;0,000000
343;9,600000;10,000000;10,000000;10;0;0,000000;0,000000
344;9,690750;10,000000;10,000000;10;0;0,000000;0,000000
345;9,480500;10,000000;10,000000;10;0;0,000000;0,000000
346;9,545000;10,000000;10,000000;10;0;0,000000;0,000000
347;9,345500;10,000000;10,000000;10;0;0,000000;0,000000
348;9,587000;10,000000;10,000000;10;0;0,000000;0,000000
349;9,603667;10,000000;10,000000;10;0;0,000000;0,000000
350;9,638667;10,000000;10,000000;10;0;0,000000;0,000000
351;9,613958;10,000000;10,000000;10;0;0,000000;0,000000
352;9,725764;10,000000;10,000000;10;0;0,000000;0,000000
353;9,673333;10,000000;10,000000;10;0;0,000000;0,000000
354;9,682500;10,000000;10,000000;10;0;0,000000;0,000000
355;9,735000;10,000000;10,000000;10;0;0,000000;0,000000
356;9,700000;10,000000;10,000000;10;0;0,000000;0,000000
357;9,549500;10,000000;10,000000;10;0;0,000000;0,000000
358;9,735000;10,000000;10,000000;10;0;0,000000;0,000000
359;9,855000;10,000000;10,000000;10;0;0,000000;0,000000
360;9,732667;10,000000;10,000000;10;0;0,000000;0,000000
